route_id,service_id,trip_id,trip_headsign
0,0,0,Stralsund Hbf
1,1,1,Karlsruhe Hbf
2,2,2,Karlsruhe Hbf
3,3,3,Hamburg-Altona
4,4,4,Hamburg-Altona
5,5,5,Kassel-Wilhelmshöhe
6,6,6,Karlsruhe Hbf
7,7,7,Karlsruhe Hbf
8,8,8,Hamburg-Altona
9,9,9,Frankfurt(Main)Hbf
0,10,10,Stralsund Hbf
10,11,11,Stralsund Hbf
2,12,12,Karlsruhe Hbf
11,13,13,Frankfurt(Main)Hbf
4,14,14,Kassel-Wilhelmshöhe
9,15,15,Karlsruhe Hbf
10,16,16,Stralsund Hbf
11,17,17,Karlsruhe Hbf
4,18,18,Hannover Hbf
12,17,19,Frankfurt(Main)Hbf
7,19,20,Karlsruhe Hbf
8,20,21,Hamburg-Altona
11,21,22,Frankfurt(Main)Hbf
13,22,23,Frankfurt(Main)Hbf
14,23,24,Stralsund Hbf
10,24,25,Stralsund Hbf
11,25,26,Frankfurt(Main)Hbf
0,26,27,Stralsund Hbf
10,27,28,Stralsund Hbf
3,28,29,Hannover Hbf
0,29,30,Stralsund Hbf
1,30,31,Karlsruhe Hbf
2,31,32,Karlsruhe Hbf
11,32,33,Frankfurt(Main)Hbf
4,33,34,Hannover Hbf
13,34,35,Frankfurt(Main)Hbf
5,35,36,Hannover Hbf
14,36,37,Stralsund Hbf
8,37,38,Hannover Hbf
9,36,39,Frankfurt(Main)Hbf
10,36,40,Stralsund Hbf
9,38,41,Karlsruhe Hbf
2,39,42,Karlsruhe Hbf
11,40,43,Karlsruhe Hbf
12,40,44,Frankfurt(Main)Hbf
8,41,45,Hannover Hbf
11,42,46,Frankfurt(Main)Hbf
14,43,47,Stralsund Hbf
10,44,48,Stralsund Hbf
2,45,49,Karlsruhe Hbf
11,46,50,Karlsruhe Hbf
12,47,51,Frankfurt(Main)Hbf
13,48,52,Frankfurt(Main)Hbf
8,49,53,Hamburg-Altona
2,50,54,Karlsruhe Hbf
11,51,55,Karlsruhe Hbf
8,52,56,Hamburg-Altona
11,53,57,Frankfurt(Main)Hbf
2,54,58,Karlsruhe Hbf
5,55,59,Hannover Hbf
2,56,60,Karlsruhe Hbf
4,57,61,Kassel-Wilhelmshöhe
8,58,62,Kassel-Wilhelmshöhe
9,59,63,Frankfurt(Main)Hbf
0,60,64,Kassel-Wilhelmshöhe
1,60,65,Karlsruhe Hbf
10,59,66,Kassel-Wilhelmshöhe
15,60,67,Karlsruhe Hbf
3,60,68,Kassel-Wilhelmshöhe
11,61,69,Frankfurt(Main)Hbf
9,62,70,Karlsruhe Hbf
10,62,71,Kassel-Wilhelmshöhe
11,63,72,Karlsruhe Hbf
11,64,73,Karlsruhe Hbf
7,65,74,Heidelberg Hbf
9,66,75,Heidelberg Hbf
0,67,76,Kassel-Wilhelmshöhe
1,68,77,Heidelberg Hbf
10,66,78,Kassel-Wilhelmshöhe
15,68,79,Karlsruhe Hbf
3,68,80,Kassel-Wilhelmshöhe
4,65,81,Kassel-Wilhelmshöhe
4,69,82,Kassel-Wilhelmshöhe
5,70,83,Kassel-Wilhelmshöhe
6,71,84,Heidelberg Hbf
0,71,85,Kassel-Wilhelmshöhe
16,72,86,Heidelberg Hbf
17,73,87,Heidelberg Hbf
18,73,88,Kassel-Wilhelmshöhe
19,73,89,Heidelberg Hbf
20,73,90,Kassel-Wilhelmshöhe
21,73,91,Karlsruhe Hbf
22,73,92,Kassel-Wilhelmshöhe
23,72,93,Kassel-Wilhelmshöhe
23,74,94,Kassel-Wilhelmshöhe
24,74,95,Kassel-Wilhelmshöhe
16,75,96,Karlsruhe Hbf
17,76,97,Karlsruhe Hbf
18,76,98,Kassel-Wilhelmshöhe
19,76,99,Karlsruhe Hbf
20,76,100,Kassel-Wilhelmshöhe
21,76,101,Karlsruhe Hbf
22,76,102,Kassel-Wilhelmshöhe
23,75,103,Kassel-Wilhelmshöhe
23,77,104,Kassel-Wilhelmshöhe
24,77,105,Kassel-Wilhelmshöhe
25,78,106,Leipzig Hbf
26,79,107,Köln Hbf
27,80,108,Bonn-Bad Godesberg
28,81,109,Koblenz Hbf
29,82,110,Leipzig Hbf
30,83,111,Köln Hbf
31,84,112,Leipzig Hbf
27,85,113,Bonn-Bad Godesberg
28,86,114,Köln Hbf
29,21,115,Dresden Hbf
28,22,116,Koblenz Hbf
30,87,117,Köln Hbf
32,88,118,Köln Hbf
29,89,119,Dresden Hbf
28,90,120,Köln Hbf
29,91,121,Hannover Hbf
31,92,122,Leipzig Hbf
25,93,123,Leipzig Hbf
29,52,124,Coswig(b Dresden)
31,94,125,Leipzig Hbf
25,94,126,Leipzig Hbf
29,95,127,Leipzig Hbf
31,96,128,Leipzig Hbf
25,96,129,Leipzig Hbf
31,97,130,Leipzig Hbf
25,98,131,Leipzig Hbf
29,99,132,Dresden Hbf
29,100,133,Dresden-Neustadt
31,101,134,Leipzig Hbf
25,102,135,Leipzig Hbf
31,103,136,Leipzig Hbf
25,103,137,Leipzig Hbf
29,104,138,Dresden Hbf
28,105,139,Koblenz Hbf
33,106,140,Stuttgart Hbf
29,107,141,Dresden Hbf
28,108,142,Koblenz Hbf
31,109,143,Leipzig Hbf
25,110,144,Leipzig Hbf
29,111,145,Leipzig Hbf
29,112,146,Dresden Hbf
26,113,147,Köln Hbf
33,114,148,Stuttgart Hbf
28,114,149,Köln Hbf
30,115,150,Köln Hbf
27,116,151,Bonn-Bad Godesberg
28,116,152,Koblenz Hbf
32,117,153,Köln Hbf
34,118,154,Köln Hbf
35,119,155,Berlin Ostbahnhof
36,120,156,Berlin Ostbahnhof
37,121,157,Hamburg-Altona
38,122,158,Interlaken Ost
39,123,159,Frankfurt(Main)Hbf
40,124,160,Hamburg-Altona
41,125,161,Interlaken Ost
42,119,162,Interlaken Ost
43,119,163,Interlaken Ost
38,126,164,Interlaken Ost
40,127,165,Frankfurt(Main)Hbf
41,128,166,Interlaken Ost
37,21,167,Dortmund Hbf
41,21,168,Interlaken Ost
37,22,169,Hamburg-Altona
41,22,170,Interlaken Ost
38,129,171,Interlaken Ost
37,130,172,Dortmund Hbf
37,131,173,Hamburg-Harburg
40,132,174,Hamburg Hbf
41,133,175,Interlaken Ost
38,134,176,Interlaken Ost
37,135,177,Dortmund Hbf
41,136,178,Interlaken Ost
37,137,179,Hamburg-Altona
41,138,180,Interlaken Ost
36,52,181,Berlin Ostbahnhof
35,139,182,Berlin Ostbahnhof
36,140,183,Berlin Ostbahnhof
38,140,184,Interlaken Ost
42,141,185,Interlaken Ost
43,141,186,Interlaken Ost
36,142,187,Berlin Ostbahnhof
38,143,188,Interlaken Ost
40,144,189,Hamburg-Altona
37,145,190,Hamburg-Altona
41,146,191,Interlaken Ost
36,147,192,Berlin Ostbahnhof
35,148,193,Berlin Hbf (tief)
41,149,194,Interlaken Ost
37,150,195,Hamburg-Altona
37,151,196,Hamburg-Altona
35,152,197,Berlin Ostbahnhof
36,152,198,Berlin Ostbahnhof
38,153,199,Interlaken Ost
41,154,200,Interlaken Ost
42,155,201,Interlaken Ost
43,155,202,Interlaken Ost
40,156,203,Hamburg-Altona
37,114,204,Dortmund Hbf
41,157,205,Interlaken Ost
37,158,206,Hamburg-Altona
41,159,207,Interlaken Ost
37,160,208,Hamburg-Altona
35,73,209,Berlin Ostbahnhof
36,73,210,Berlin Ostbahnhof
44,74,211,Hamburg-Altona
37,161,212,Hamburg-Altona
35,76,213,Berlin Ostbahnhof
36,76,214,Berlin Ostbahnhof
37,162,215,Dortmund Hbf
38,163,216,Interlaken Ost
39,164,217,Frankfurt(Main)Hbf
40,165,218,Frankfurt(Main)Hbf
41,166,219,Interlaken Ost
42,167,220,Interlaken Ost
43,167,221,Interlaken Ost
37,168,222,Hamburg-Altona
44,77,223,Hamburg-Altona
41,169,224,Interlaken Ost
35,170,225,Berlin Ostbahnhof
36,170,226,Berlin Ostbahnhof
38,171,227,Interlaken Ost
44,172,228,Hamburg-Altona
39,173,229,Frankfurt(Main)Hbf
45,174,230,Lindau Hbf
46,175,231,Innsbruck Hbf
47,176,232,Dortmund Hbf
46,177,233,Innsbruck Hbf
48,178,234,München Hbf Gl.5-10
46,179,235,Innsbruck Hbf
47,180,236,Dortmund Hbf
46,181,237,Innsbruck Hbf
47,182,238,Dortmund Hbf
47,183,239,Dortmund Hbf
47,184,240,Dortmund Hbf
46,185,241,Innsbruck Hbf
47,186,242,Dortmund Hbf
47,187,243,Dortmund Hbf
48,188,244,München Hbf Gl.5-10
