route_id,route_short_name,route_long_name,route_type,agency_id
222,,ICE 916,2,DB
223,,IC 2220,2,DB
224,,IC 2310,2,DB
225,,IC 2028,2,DB
226,,ICE 1521,2,DB
227,,ICE 859,2,DB
228,,ICE 559,2,DB
229,,ICE 651,2,DB
230,,ICE 557,2,DB
231,,ICE 1113,2,DB
232,,IC 208,2,DB
233,,NJ 40490,2,ÖBB
234,,NJ 420,2,ÖBB
235,,IC 2320,2,DB
236,,ICE 22,2,DB
237,,IC 2410,2,DB
238,,ICE 220,2,NS
239,,ICE 121,2,DB
240,,ICE 128,2,NS
241,,ICE 126,2,NS
242,,ICE 123,2,DB
243,,IC 2302,2,DB
244,,ICE 124,2,NS
245,,ICE 222,2,NS
246,,ICE 127,2,DB
247,,ICE 735,2,DB
248,,ICE 739,2,DB
249,,ICE 894,2,DB
250,,ICE 933,2,DB
251,,ICE 738,2,DB
252,,ICE 937,2,DB
253,,ICE 734,2,DB
254,,ICE 751,2,DB
255,,ICE 750,2,DB
256,,ICE 753,2,DB
257,,ICE 938,2,DB
258,,ICE 755,2,DB
259,,EC 33,2,DSB
260,,EC 38,2,DB
261,,EC 35,2,DSB
262,,EC 34,2,DB
263,,EC 39,2,DSB
264,,EC 32,2,DB
265,,EC 36,2,DB
266,,EC 37,2,DSB
267,,EC 39,2,DB
268,,EC 438,2,DB
269,,EC 235,2,DSB
270,,EC 436,2,DB
271,,EC 434,2,DB
272,,EC 232,2,DB
273,,EC 432,2,DB
274,,IC 2417,2,DB
275,,IC 2415,2,DB
276,,IC 2413,2,DB
277,,IC 2411,2,DB
278,,IC 2418,2,DB
279,,EC 230,2,DB
280,,EC 231,2,DSB
281,,IC 1181,2,DB
282,,IC 2288,2,DB
283,,IC 2383,2,DB
284,,IC 2280,2,DB
285,,IC 2385,2,DB
286,,IC 2388,2,DB
287,,IC 2387,2,DB
288,,IC 2386,2,DB
289,,IC 2389,2,DB
290,,IC 2384,2,DB
291,,IC 2281,2,DB
292,,IC 2382,2,DB
293,,IC 2289,2,DB
294,,IC 2380,2,DB
295,,IC 2285,2,DB
296,,IC 2287,2,DB
297,,IC 2286,2,DB
298,,IC 1186,2,DB
299,,IC 2284,2,DB
300,,IC 2381,2,DB
301,,IC 2235,2,DB
302,,IC 2331,2,DB
303,,EC 288,2,DB
