route_id,route_short_name,route_long_name,route_type,agency_id
0,,IC 2376,2,DB
1,,IC 2371,2,DB
2,,IC 2375,2,DB
3,,IC 2276,2,DB
4,,IC 2274,2,DB
5,,IC 2272,2,DB
6,,IC 2273,2,DB
7,,IC 2271,2,DB
8,,IC 2378,2,DB
9,,IC 2277,2,DB
10,,IC 2372,2,DB
11,,IC 2377,2,DB
12,,IC 2379,2,DB
13,,IC 2172,2,DB
14,,IC 2182,2,DB
15,,IC 2270,2,DB
16,,IC 2039,2,DB
17,,IC 2201,2,DB
18,,IC 2203,2,DB
19,,IC 2205,2,DB
20,,IC 2435,2,DB
21,,IC 2209,2,DB
22,,IC 2037,2,DB
23,,IC 2019,2,DB
24,,IC 2420,2,DB
25,,ICE 372,2,DB
26,,ICE 278,2,DB
27,,EC 6,2,DB
28,,ICE 275,2,SBB
29,,ECE 52,2,EC
30,,ICE 376,2,DB
31,,EC 7,2,SBB
32,,ICE 371,2,SBB
33,,ICE 373,2,SBB
34,,IC 118,2,DB
35,,IC 119,2,ÖBB
36,,RJ 1286,2,DB
37,,IC 118,2,ÖBB
38,,ICE 827,2,DB
39,,ICE 521,2,DB
40,,ICE 1018,2,DB
41,,ICE 1125,2,DB
42,,ICE 214,2,DB
43,,ICE 621,2,DB
44,,ICE 16,2,DB
45,,ICE 625,2,DB
46,,ICE 1122,2,DB
47,,ICE 629,2,DB
48,,ICE 816,2,DB
49,,ICE 817,2,DB
50,,ICE 17,2,DB
51,,ICE 1124,2,DB
52,,ICE 812,2,DB
53,,ICE 911,2,DB
54,,ICE 620,2,DB
55,,ICE 821,2,DB
56,,ICE 810,2,DB
57,,ICE 605,2,DB
58,,ICE 524,2,DB
59,,ICE 619,2,DB
60,,ICE 522,2,DB
61,,ICE 523,2,DB
62,,ICE 618,2,DB
63,,ICE 712,2,DB
64,,ICE 711,2,DB
65,,ICE 811,2,DB
66,,ICE 1223,2,DB
67,,ICE 813,2,DB
68,,ICE 815,2,DB
69,,ICE 820,2,DB
70,,ICE 726,2,DB
71,,ICE 818,2,DB
72,,ICE 12,2,DB
73,,ICE 132,2,NS
74,,ICE 1127,2,DB
75,,ICE 122,2,NS
76,,ICE 918,2,DB
77,,ICE 2520,2,DB
78,,ICE 152,2,NS
79,,ICE 152,2,DB
80,,ICE 819,2,DB
81,,ICE 2596,2,DB
82,,ICE 122,2,DB
83,,ICE 132,2,DB
84,,ICE 9571,2,DB
85,,TGV 9551,2,DB
86,,ICE 9573,2,DB
87,,ICE 9553,2,DB
88,,TGV 9575,2,DB
89,,ICE 9563,2,DB
90,,TGV 9577,2,DB
91,,ICE 9555,2,DB
92,,TGV 9579,2,DB
93,,ICE 9557,2,DB
94,,TGV 9561,2,DB
95,,TGV 9593,2,DB
96,,TGV 9559,2,DB
97,,D 24JI,2,DPN
98,,IC 2204,2,DB
99,,IC 2202,2,DB
100,,IC 2000,2,DB
101,,IC 2207,2,DB
102,,IC 2004,2,DB
103,,IC 2002,2,DB
104,,IC 2005,2,DB
105,,IC 2009,2,DB
106,,IC 2206,2,DB
107,,IC 2200,2,DB
108,,IC 2014,2,DB
109,,IC 2208,2,DB
110,,IC 2006,2,DB
111,,IC 2007,2,DB
112,,ICE 9568,2,DB
113,,TGV 9576,2,DB
114,,ICE 9574,2,DB
115,,ICE 9572,2,DB
116,,TGV 9560,2,DB
117,,TGV 9570,2,DB
118,,TGV 9578,2,DB
119,,ICE 9566,2,DB
120,,TGV 9592,2,DB
121,,IC 284,2,DB
122,,IC 388,2,DB
123,,IC 181,2,SBB
124,,IC 282,2,DB
125,,IC 481,2,SBB
126,,IC 380,2,DB
127,,IC 183,2,SBB
128,,IC 280,2,DB
129,,IC 488,2,DB
130,,IC 185,2,SBB
131,,IC 188,2,DB
132,,IC 485,2,SBB
133,,IC 486,2,DB
134,,IC 187,2,SBB
135,,IC 186,2,DB
136,,IC 487,2,SBB
137,,IC 484,2,DB
138,,IC 189,2,SBB
139,,IC 184,2,DB
140,,IC 489,2,SBB
141,,IC 482,2,DB
142,,IC 281,2,SBB
143,,IC 182,2,DB
144,,IC 381,2,SBB
145,,IC 480,2,DB
146,,IC 283,2,SBB
147,,IC 180,2,DB
148,,IC 389,2,SBB
149,,IC 285,2,SBB
150,,IC 483,2,SBB
151,,Bus72234,2,DB
152,,Bus72288,2,DB
153,,Bus72232,2,DB
154,,Bus72280,2,DB
155,,Bus72230,2,DB
156,,Bus72388,2,DB
157,,Bus72338,2,DB
158,,Bus72386,2,DB
159,,Bus72336,2,DB
160,,Bus72384,2,DB
161,,Bus72334,2,DB
162,,Bus72382,2,DB
163,,Bus72380,2,DB
164,,Bus72332,2,DB
165,,ICE 529,2,DB
166,,ICE 623,2,DB
167,,ICE 627,2,DB
168,,ICE 721,2,DB
169,,ICE 915,2,DB
170,,ICE 720,2,DB
171,,ICE 723,2,DB
172,,ICE 628,2,DB
173,,ICE 725,2,DB
174,,ICE 917,2,DB
175,,ICE 727,2,DB
176,,ICE 729,2,DB
177,,ICE 622,2,DB
178,,ICE 828,2,DB
179,,ICE 912,2,DB
180,,ICE 528,2,DB
181,,ICE 526,2,DB
182,,ICE 342,2,NS
183,,ICE 525,2,DB
184,,ICE 913,2,DB
185,,ICE 845,2,DB
186,,ICE 527,2,DB
187,,ICE 824,2,DB
188,,ICE 822,2,DB
189,,ICE 131,2,DB
190,,ICE 138,2,NS
191,,ICE 916,2,DB
192,,ICE 728,2,DB
193,,ICE 138,2,DB
194,,ICE 136,2,DB
195,,ICE 914,2,DB
196,,ICE 724,2,DB
197,,ICE 133,2,DB
198,,ICE 135,2,DB
199,,ICE 2587,2,DB
200,,ICE 626,2,DB
201,,IC 208,2,DB
202,,IC 2319,2,DB
203,,ICE 1521,2,DB
204,,EC 115,2,ÖBB
205,,IC 2310,2,DB
206,,ICE 27,2,ÖBB
207,,ICE 2580,2,DB
208,,IC 2226,2,DB
209,,IC 2212,2,DB
210,,IC 2320,2,DB
211,,NJ 40490,2,ÖBB
212,,NJ 420,2,ÖBB
213,,IC 2028,2,DB
214,,ICE 22,2,DB
215,,IC 2020,2,DB
216,,IC 2220,2,DB
217,,IC 2021,2,DB
218,,IC 2216,2,DB
219,,IC 2218,2,DB
220,,ICE 136,2,NS
221,,ICE 23,2,ÖBB
222,,IC 1119,2,DB
223,,EC 9,2,SBB
224,,IC 2410,2,DB
225,,ICE 1887,2,DB
226,,IC 2024,2,DB
227,,ICE 2593,2,DB
228,,ICE 722,2,DB
229,,ICE 1228,2,DB
230,,ICE 2592,2,DB
231,,ICE 2589,2,DB
232,,ICE 340,2,NS
233,,ICE 340,2,DB
234,,IC 1911,2,DB
235,,ICE 220,2,NS
236,,ICE 128,2,NS
237,,ICE 105,2,DB
