route_id,service_id,trip_id,trip_headsign
0,0,0,Stralsund Hbf
1,1,1,Karlsruhe Hbf
2,2,2,Karlsruhe Hbf
3,3,3,Hamburg-Altona
4,4,4,Hamburg-Altona
5,5,5,Kassel-Wilhelmshöhe
6,6,6,Karlsruhe Hbf
7,7,7,Karlsruhe Hbf
8,8,8,Hamburg-Altona
9,9,9,Frankfurt(Main)Hbf
0,10,10,Stralsund Hbf
1,11,11,Karlsruhe Hbf
10,12,12,Stralsund Hbf
2,13,13,Karlsruhe Hbf
3,14,14,Hannover Hbf
11,15,15,Frankfurt(Main)Hbf
4,16,16,Kassel-Wilhelmshöhe
9,17,17,Karlsruhe Hbf
10,18,18,Stralsund Hbf
2,19,19,Karlsruhe Hbf
3,20,20,Hamburg-Altona
11,21,21,Karlsruhe Hbf
4,22,22,Hannover Hbf
12,23,23,Frankfurt(Main)Hbf
7,24,24,Karlsruhe Hbf
8,25,25,Hamburg-Altona
9,24,26,Karlsruhe Hbf
10,25,27,Stralsund Hbf
4,24,28,Kassel-Wilhelmshöhe
3,26,29,Hamburg Hbf
13,27,30,Hannover Hbf
14,28,31,Stralsund Hbf
7,29,32,Karlsruhe Hbf
8,30,33,Hamburg-Altona
11,31,34,Frankfurt(Main)Hbf
4,32,35,Hamburg-Altona
13,33,36,Hannover Hbf
7,34,37,Karlsruhe Hbf
9,34,38,Karlsruhe Hbf
1,35,39,Karlsruhe Hbf
10,34,40,Stralsund Hbf
2,35,41,Karlsruhe Hbf
3,36,42,Hamburg-Altona
4,34,43,Kassel-Wilhelmshöhe
0,37,44,Stralsund Hbf
10,37,45,Schwerin Hbf
4,37,46,Hamburg-Altona
13,37,47,Hannover Hbf
14,38,48,Schwerin Hbf
0,39,49,Schwerin Hbf
10,40,50,Schwerin Hbf
11,41,51,Frankfurt(Main)Hbf
8,42,52,Hamburg-Altona
10,43,53,Schwerin Hbf
2,44,54,Karlsruhe Hbf
11,45,55,Karlsruhe Hbf
12,46,56,Frankfurt(Main)Hbf
8,47,57,Hamburg-Altona
0,48,58,Schwerin Hbf
10,47,59,Hamburg Hbf
2,48,60,Karlsruhe Hbf
11,49,61,Frankfurt(Main)Hbf
10,50,62,Schwerin Hbf
11,51,63,Karlsruhe Hbf
10,52,64,Hamburg Hbf
2,53,65,Karlsruhe Hbf
11,54,66,Frankfurt(Main)Hbf
11,55,67,Karlsruhe Hbf
12,56,68,Frankfurt(Main)Hbf
8,57,69,Hamburg-Altona
11,58,70,Frankfurt(Main)Hbf
11,59,71,Karlsruhe Hbf
3,60,72,Hamburg-Altona
4,60,73,Hamburg-Altona
13,60,74,Hannover Hbf
9,61,75,Frankfurt(Main)Hbf
4,62,76,Hamburg-Altona
7,63,77,Heidelberg Hbf
9,63,78,Heidelberg Hbf
0,64,79,Schwerin Hbf
1,64,80,Karlsruhe Hbf
2,65,81,Karlsruhe Hbf
3,63,82,Hamburg-Altona
4,66,83,Kassel-Wilhelmshöhe
3,67,84,Hamburg Hbf
4,67,85,Hamburg-Altona
3,68,86,Hannover Hbf
7,69,87,Heidelberg Hbf
2,70,88,Karlsruhe Hbf
11,71,89,Frankfurt(Main)Hbf
12,72,90,Frankfurt(Main)Hbf
2,73,91,Karlsruhe Hbf
10,74,92,Hamburg Hbf
13,75,93,Hannover Hbf
11,76,94,Karlsruhe Hbf
2,77,95,Karlsruhe Hbf
11,77,96,Frankfurt(Main)Hbf
9,78,97,Frankfurt(Main)Hbf
9,79,98,Karlsruhe Hbf
7,80,99,Karlsruhe Hbf
9,81,100,Karlsruhe Hbf
1,82,101,Karlsruhe Hbf
2,83,102,Karlsruhe Hbf
6,84,103,Karlsruhe Hbf
7,85,104,Karlsruhe Hbf
1,86,105,Karlsruhe Hbf
6,87,106,Karlsruhe Hbf
7,87,107,Karlsruhe Hbf
0,88,108,Schwerin Hbf
1,88,109,Karlsruhe Hbf
2,88,110,Karlsruhe Hbf
3,89,111,Hannover Hbf
4,90,112,Kassel-Wilhelmshöhe
5,87,113,Kassel-Wilhelmshöhe
9,91,114,Karlsruhe Hbf
10,92,115,Schwerin Hbf
3,92,116,Hamburg-Altona
11,93,117,Karlsruhe Hbf
4,93,118,Hannover Hbf
7,94,119,Karlsruhe Hbf
4,95,120,Hamburg-Altona
9,96,121,Karlsruhe Hbf
8,97,122,Hamburg-Altona
2,97,123,Karlsruhe Hbf
11,98,124,Frankfurt(Main)Hbf
11,99,125,Karlsruhe Hbf
12,99,126,Frankfurt(Main)Hbf
0,100,127,Schwerin Hbf
10,100,128,Schwerin Hbf
11,100,129,Frankfurt(Main)Hbf
12,100,130,Frankfurt(Main)Hbf
14,101,131,Hannover Hbf
8,102,132,Hannover Hbf
9,103,133,Frankfurt(Main)Hbf
0,104,134,Hannover Hbf
1,105,135,Karlsruhe Hbf
10,103,136,Hannover Hbf
11,106,137,Frankfurt(Main)Hbf
9,107,138,Karlsruhe Hbf
10,108,139,Hannover Hbf
11,109,140,Karlsruhe Hbf
12,110,141,Frankfurt(Main)Hbf
8,111,142,Hannover Hbf
4,112,143,Hannover Hbf
6,113,144,Heidelberg Hbf
1,114,145,Heidelberg Hbf
5,115,146,Kassel-Wilhelmshöhe
10,116,147,Hannover Hbf
2,117,148,Karlsruhe Hbf
14,118,149,Stralsund Hbf
11,119,150,Karlsruhe Hbf
7,120,151,Karlsruhe Hbf
9,120,152,Karlsruhe Hbf
1,120,153,Karlsruhe Hbf
10,120,154,Stralsund Hbf
3,120,155,Hamburg-Altona
4,120,156,Kassel-Wilhelmshöhe
0,121,157,Stralsund Hbf
1,121,158,Karlsruhe Hbf
2,121,159,Karlsruhe Hbf
3,121,160,Hamburg-Altona
4,121,161,Hamburg-Altona
13,121,162,Hannover Hbf
7,122,163,Heidelberg Hbf
0,123,164,Stralsund Hbf
1,124,165,Heidelberg Hbf
3,125,166,Hannover Hbf
4,126,167,Kassel-Wilhelmshöhe
5,127,168,Kassel-Wilhelmshöhe
9,128,169,Heidelberg Hbf
10,129,170,Stralsund Hbf
3,130,171,Hamburg-Altona
11,131,172,Karlsruhe Hbf
4,129,173,Hannover Hbf
5,132,174,Kassel-Wilhelmshöhe
7,133,175,Frankfurt(Main)West
9,133,176,Frankfurt(Main)West
1,134,177,Karlsruhe Hbf
10,133,178,Stralsund Hbf
2,134,179,Karlsruhe Hbf
3,134,180,Hamburg-Altona
4,133,181,Kassel-Wilhelmshöhe
0,135,182,Stralsund Hbf
4,135,183,Hamburg-Altona
13,135,184,Hannover Hbf
2,136,185,Karlsruhe Hbf
11,137,186,Frankfurt(Main)Hbf
11,138,187,Karlsruhe Hbf
12,139,188,Frankfurt(Main)Hbf
7,140,189,Heidelberg Hbf
10,141,190,Stralsund Hbf
3,142,191,Hamburg-Altona
4,143,192,Hamburg-Altona
13,143,193,Hannover Hbf
11,144,194,Karlsruhe Hbf
0,145,195,Stralsund Hbf
15,145,196,Stralsund Hbf
3,145,197,Hamburg-Altona
4,145,198,Hamburg-Altona
13,145,199,Hannover Hbf
8,146,200,Hamburg-Altona
9,147,201,Frankfurt(Main)Hbf
0,148,202,Kassel-Wilhelmshöhe
1,149,203,Heidelberg Hbf
10,147,204,Kassel-Wilhelmshöhe
2,148,205,Karlsruhe Hbf
3,148,206,Kassel-Wilhelmshöhe
11,150,207,Frankfurt(Main)Hbf
9,151,208,Heidelberg Hbf
10,152,209,Stralsund Hbf
11,152,210,Karlsruhe Hbf
12,152,211,Frankfurt(Main)Hbf
8,153,212,Hamburg-Altona
10,154,213,Kassel-Wilhelmshöhe
1,155,214,Heidelberg Hbf
4,155,215,Hamburg-Altona
13,155,216,Kassel-Wilhelmshöhe
2,156,217,Karlsruhe Hbf
4,157,218,Kassel-Wilhelmshöhe
0,158,219,Stralsund Hbf
1,159,220,Heidelberg Hbf
3,159,221,Hamburg-Altona
4,159,222,Hamburg-Altona
13,159,223,Hannover Hbf
6,160,224,Heidelberg Hbf
7,160,225,Heidelberg Hbf
8,160,226,Hamburg-Altona
9,161,227,Frankfurt(Main)Hbf
9,162,228,Frankfurt(Main)Hbf
2,163,229,Karlsruhe Hbf
2,164,230,Karlsruhe Hbf
16,165,231,Leipzig Hbf
17,166,232,Düsseldorf Hbf
18,166,233,Köln Hbf
19,166,234,Koblenz Hbf
20,167,235,Leipzig Hbf
21,166,236,Köln Hbf
22,168,237,Leipzig Hbf
17,169,238,Köln Hbf
18,170,239,Bonn-Bad Godesberg
19,171,240,Koblenz Hbf
22,25,241,Leipzig Hbf
