route_id,route_short_name,route_long_name,route_type,agency_id
0,,IC 2273,2,DPN
1,,IC 2435,2,DPN
2,,ICE 372,2,SBB
3,,ICE 278,2,SBB
4,,EC 6,2,SBB
5,,ICE 275 (SBB),2,SBB
6,,ICE 376,2,SBB
7,,EC 7,2,SBB
8,,ICE 371,2,SBB
9,,ICE 373,2,SBB
10,,ICE 396,2,SBB
11,,IC 118,2,DPN
12,,IC 119,2,DPN
13,,ICE 827,2,DPN
14,,ICE 521,2,DPN
15,,ICE 1018,2,DPN
16,,ICE 1125,2,DPN
17,,ICE 818,2,DPN
18,,ICE 11,2,DPN
19,,ICE 621,2,DPN
20,,ICE 16,2,DPN
21,,ICE 625,2,DPN
22,,ICE 1122,2,DPN
23,,ICE 629,2,DPN
24,,ICE 816,2,DPN
25,,ICE 817,2,DPN
26,,ICE 17,2,DPN
27,,ICE 1124,2,DPN
28,,ICE 812,2,DPN
29,,ICE 819,2,DPN
30,,ICE 620,2,DPN
31,,ICE 821,2,DPN
32,,ICE 810,2,DPN
33,,ICE 605,2,DPN
34,,ICE 524,2,DPN
35,,ICE 619,2,DPN
36,,ICE 522,2,DPN
37,,ICE 523,2,DPN
38,,ICE 618,2,DPN
39,,ICE 716,2,DPN
40,,ICE 711,2,DPN
41,,ICE 811,2,DPN
42,,ICE 1223,2,DPN
43,,ICE 813,2,DPN
44,,ICE 815,2,DPN
45,,ICE 820,2,DPN
46,,ICE 726,2,DPN
47,,ICE 912,2,DPN
48,,ICE 826,2,DPN
49,,ICE 1126,2,DPN
50,,ICE 1127,2,DPN
51,,ICE 2518,2,DPN
52,,ICE 814,2,DPN
53,,ICE 913,2,DPN
54,,ICE 1218,2,DPN
55,,ICE 1118,2,DPN
56,,TGV 9571,2,DPN
57,,TGV 9553,2,DPN
58,,TGV 9573,2,DPN
59,,ICE 9555,2,DPN
60,,TGV 9575,2,DPN
61,,ICE 9557,2,DPN
62,,TGV 9577,2,DPN
63,,ICE 9559,2,DPN
64,,ICE 9551,2,DPN
65,,TGV 9591,2,DPN
66,,TGV 9579,2,DPN
67,,ICE 9563,2,DPN
68,,TGV 9561,2,DPN
69,,ICE 9571,2,DPN
70,,TGV 9551,2,DPN
71,,ICE 9573,2,DPN
72,,ICE 9553,2,DPN
73,,TGV 9593,2,DPN
74,,TGV 9559,2,DPN
75,,IC 2204,2,DPN
76,,IC 2202,2,DPN
77,,IC 2200,2,DPN
78,,IC 2004,2,DPN
79,,IC 2002,2,DPN
80,,IC 2206,2,DPN
81,,IC 2014,2,DPN
82,,IC 2208,2,DPN
83,,IC 2358,2,DPN
84,,IC 2006,2,DPN
85,,IC 2005,2,DPN
86,,TGV 9576,2,DPN
87,,TGV 9574,2,DPN
88,,TGV 9581,2,DPN
89,,TGV 9572,2,DPN
90,,TGV 9570,2,DPN
91,,TGV 9578,2,DPN
92,,TGV 9583,2,DPN
93,,TGV 9592,2,DPN
94,,TGV 9590,2,DPN
95,,ICE 9568,2,DPN
96,,ICE 9574,2,DPN
97,,ICE 9572,2,DPN
98,,TGV 9560,2,DPN
99,,ICE 9566,2,DPN
100,,IC 282,2,SBB
101,,IC 181,2,SBB
102,,IC 280,2,SBB
103,,IC 183,2,SBB
104,,IC 186,2,SBB
105,,IC 185,2,SBB
106,,IC 184,2,SBB
107,,IC 187,2,SBB
108,,IC 182,2,SBB
109,,IC 281,2,SBB
110,,IC 180,2,SBB
111,,IC 283,2,SBB
112,,IC 285,2,SBB
113,,IC 284,2,SBB
114,,Bus50834,2,SBB
115,,Bus50836,2,SBB
116,,Bus50936,2,SBB
117,,Bus50934,2,SBB
118,,Bus50932,2,SBB
119,,ICE 529,2,DPN
120,,ICE 623,2,DPN
121,,ICE 627,2,DPN
122,,ICE 642,2,DPN
123,,ICE 721,2,DPN
124,,ICE 717,2,DPN
125,,ICE 720,2,DPN
126,,ICE 943,2,DPN
127,,ICE 723,2,DPN
128,,ICE 628,2,DPN
129,,ICE 725,2,DPN
130,,ICE 917,2,DPN
131,,ICE 626,2,DPN
132,,ICE 727,2,DPN
133,,ICE 624,2,DPN
134,,ICE 729,2,DPN
135,,ICE 622,2,DPN
136,,ICE 710,2,DPN
137,,ICE 528,2,DPN
138,,ICE 526,2,DPN
139,,ICE 525,2,DPN
140,,ICE 713,2,DPN
141,,ICE 845,2,DPN
142,,ICE 527,2,DPN
143,,ICE 824,2,DPN
144,,ICE 822,2,DPN
145,,ICE 646,2,DPN
146,,ICE 916,2,DPN
147,,ICE 728,2,DPN
148,,ICE 849,2,DPN
149,,ICE 714,2,DPN
150,,ICE 724,2,DPN
151,,ICE 548,2,DPN
152,,ICE 103,2,DPN
153,,ICE 944,2,DPN
154,,ICE 208,2,DPN
155,,EC 1289,2,DPN
156,,EC 85,2,DPN
157,,EC 82,2,DPN
158,,EC 87,2,DPN
159,,EC 88,2,DPN
160,,EC 89,2,DPN
161,,EC 80,2,DPN
162,,EC 83,2,DPN
163,,EC 84,2,DPN
164,,EC 189,2,DPN
165,,EC 86,2,DPN
166,,ICE 209,2,DPN
167,,EC 188,2,DPN
168,,CNL40485,2,DPN
169,,CNL 485,2,DPN
170,,EC 81,2,DPN
171,,IC 1286,2,DPN
172,,IC 1283,2,DPN
173,,IC 1287,2,DPN
174,,IC 1282,2,DPN
175,,IC 1281,2,DPN
176,,EC 1288,2,DPN
177,,CNL40418,2,DPN
178,,IC 60418,2,DPN
179,,IC 61418,2,DPN
180,,CNL 418,2,DPN
181,,IC 1280,2,DPN
182,,IC 1284,2,DPN
183,,IC 1285,2,DPN
184,,ICE 1208,2,DPN
185,,ICE 1209,2,DPN
186,,EC 390,2,DPN
187,,RJ 1164,2,DPN
188,,RJ 61,2,DPN
189,,EC 218,2,DPN
190,,EC 111,2,DPN
191,,RJ 1168,2,DPN
192,,RJ 63,2,DPN
193,,EC 114,2,DPN
194,,EC 217,2,DPN
195,,RJ 1060,2,DPN
196,,RJ 65,2,DPN
197,,EC 112,2,DPN
198,,EC 113,2,DPN
199,,RJ 1062,2,DPN
200,,RJ 67,2,DPN
201,,EC 216,2,DPN
202,,RJ 1064,2,DPN
203,,RJ 69,2,DPN
204,,EC 219,2,DPN
205,,RJ 1066,2,DPN
206,,RJ 261,2,DPN
207,,EC 110,2,DPN
208,,EC 117,2,DPN
209,,RJ 1068,2,DPN
210,,EC 391,2,DPN
211,,EN 462,2,DPN
212,,EN 498,2,DPN
213,,IC 1296,2,DPN
214,,RJ 265,2,DPN
215,,EN 463,2,DPN
216,,D 499,2,DPN
217,,IC 1216,2,DPN
218,,IC 1268,2,DPN
219,,CNL40463,2,DPN
220,,CNL60463,2,DPN
221,,RJ 260,2,DPN
222,,RJ 262,2,DPN
223,,RJ 60,2,DPN
224,,RJ 62,2,DPN
225,,EN 490,2,DPN
226,,EN 420,2,DPN
227,,ICE 228,2,DPN
228,,ICE 28,2,DPN
229,,ICE 26,2,DPN
230,,ICE 21,2,DPN
231,,ICE 90,2,DPN
232,,ICE 23,2,DPN
233,,ICE 22,2,DPN
234,,ICE 91,2,DPN
235,,ICE 20,2,DPN
236,,ICE 27,2,DPN
237,,ICE 29,2,DPN
238,,ICE 229,2,DPN
239,,EN 491,2,DPN
240,,EN 421,2,DPN
241,,RJ 64,2,DPN
242,,ICE 1005,2,DPN
243,,IC 2302,2,DPN
244,,ICE 1507,2,DPN
245,,ICE 1512,2,DPN
246,,IC 2355,2,DPN
247,,IC 2300,2,DPN
248,,IC 2152,2,DPN
249,,ICE 1509,2,DPN
250,,ICE 1609,2,DPN
251,,ICE 1610,2,DPN
252,,ICE 1508,2,DPN
253,,IC 2301,2,DPN
254,,IC 2356,2,DPN
255,,ICE 1513,2,DPN
256,,ICE 1506,2,DPN
257,,IC 2303,2,DPN
258,,ICE 704,2,DPN
259,,ICE 1515,2,DPN
260,,ICE 1504,2,DPN
261,,ICE 1615,2,DPN
262,,ICE 1604,2,DPN
263,,ICE 1517,2,DPN
264,,ICE 1002,2,DPN
265,,ICE 1500,2,DPN
266,,ICE 1503,2,DPN
267,,ICE 1003,2,DPN
268,,ICE 1616,2,DPN
269,,ICE 1505,2,DPN
270,,ICE 1514,2,DPN
271,,ICE 1001,2,DPN
272,,ICE 1524,2,DPN
273,,ICE 1605,2,DPN
274,,ICE 1207,2,DPN
275,,ICE 1206,2,DPN
276,,ICE 1511,2,DPN
277,,ICE 1612,2,DPN
278,,EC 115,2,DPN
279,,EC 1217,2,DPN
280,,CNL40470,2,DPN
281,,IC 60470,2,SBB
282,,IC 61470,2,SBB
283,,CNL 470,2,SBB
284,,CNL40478,2,DPN
285,,IC 60478,2,SBB
286,,IC 61478,2,SBB
287,,CNL 478,2,SBB
288,,IC 2063,2,DPN
289,,IC 2160,2,DPN
290,,IC 2065,2,DPN
291,,IC 2068,2,DPN
292,,IC 2067,2,DPN
293,,IC 2066,2,DPN
294,,IC 2069,2,DPN
295,,IC 2064,2,DPN
296,,IC 2161,2,DPN
297,,IC 2062,2,DPN
298,,IC 2163,2,DPN
299,,IC 2060,2,DPN
300,,IC 2164,2,DPN
301,,IC 2061,2,DPN
302,,IC 2162,2,DPN
303,,IC 2165,2,DPN
304,,IC 2305,2,DPN
305,,IC 2434,2,DPN
306,,IC 2432,2,DPN
307,,IC 2036,2,DPN
308,,IC 2034,2,DPN
309,,IC 2018,2,DPN
