service_id,date,exception_type
0,20160125,1
0,20151217,1
0,20160126,1
0,20151218,1
0,20151228,1
0,20160128,1
0,20160107,1
0,20151221,1
0,20160122,1
0,20151222,1
0,20160119,1
0,20160112,1
0,20160106,1
0,20151216,1
0,20160121,1
0,20160118,1
0,20160115,1
0,20160108,1
0,20160105,1
0,20160127,1
0,20160120,1
0,20151215,1
0,20151230,1
0,20160111,1
0,20160104,1
0,20151214,1
0,20151223,1
0,20160113,1
0,20151229,1
0,20160114,1
1,20160718,1
1,20160323,1
1,20160603,1
1,20161014,1
1,20160208,1
1,20160915,1
1,20160804,1
1,20160318,1
1,20161011,1
1,20160721,1
1,20161005,1
1,20160415,1
1,20160802,1
1,20160324,1
1,20160920,1
1,20160801,1
1,20160815,1
1,20161129,1
1,20160628,1
1,20160930,1
1,20160511,1
1,20160512,1
1,20161209,1
1,20160927,1
1,20160617,1
1,20160301,1
1,20160223,1
1,20160929,1
1,20161124,1
1,20160808,1
1,20161122,1
1,20160822,1
1,20161205,1
1,20160217,1
1,20160622,1
1,20160531,1
1,20160310,1
1,20160715,1
1,20160315,1
1,20160819,1
1,20161206,1
1,20160712,1
1,20161117,1
1,20161115,1
1,20160525,1
1,20160825,1
1,20160420,1
1,20160419,1
1,20160224,1
1,20160520,1
1,20160901,1
1,20160425,1
1,20161024,1
1,20160202,1
1,20160205,1
1,20160902,1
1,20161110,1
1,20160826,1
1,20161027,1
1,20160705,1
1,20161021,1
1,20160727,1
1,20160215,1
1,20160610,1
1,20160426,1
1,20160519,1
1,20160209,1
1,20160914,1
1,20160212,1
1,20161103,1
1,20160615,1
1,20161018,1
1,20160601,1
1,20161012,1
1,20160720,1
1,20160317,1
1,20160322,1
1,20160913,1
1,20160411,1
1,20160923,1
1,20160916,1
1,20160805,1
1,20160606,1
1,20160624,1
1,20160926,1
1,20160627,1
1,20161006,1
1,20160803,1
1,20160412,1
1,20160928,1
1,20160509,1
1,20160809,1
1,20161128,1
1,20160812,1
1,20160629,1
1,20160510,1
1,20160504,1
1,20161201,1
1,20160303,1
1,20160623,1
1,20160218,1
1,20160810,1
1,20160314,1
1,20160711,1
1,20161207,1
1,20161116,1
1,20160816,1
1,20160823,1
1,20161202,1
1,20160708,1
1,20161121,1
1,20160620,1
1,20160503,1
1,20160829,1
1,20160225,1
1,20160530,1
1,20160714,1
1,20160309,1
1,20161028,1
1,20160422,1
1,20160704,1
1,20161109,1
1,20161114,1
1,20160830,1
1,20161031,1
1,20160701,1
1,20160524,1
1,20160421,1
1,20160427,1
1,20161104,1
1,20160518,1
1,20160907,1
1,20160523,1
1,20161025,1
1,20160707,1
1,20160203,1
1,20160608,1
1,20161102,1
1,20161019,1
1,20160729,1
1,20160726,1
1,20161107,1
1,20160517,1
1,20160428,1
1,20160321,1
1,20160912,1
1,20160909,1
1,20160613,1
1,20160210,1
1,20160919,1
1,20160722,1
1,20160607,1
1,20161010,1
1,20161013,1
1,20160719,1
1,20160602,1
1,20160316,1
1,20161007,1
1,20160921,1
1,20160413,1
1,20160922,1
1,20160513,1
1,20161208,1
